#CODE;ENGLISH;FRENCH;GERMAN;POLSKI;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;CHINESE
Russia_East_Arkhangelsk;East Arkhangel'sk;Est d'Arkhangelsk;Ost-Archangelsk;Wschodnie Archangielsk;Este de Arcángel;Est di Arcangelo;Östra Archangelsk;Východní Archangelsk;Keleti Arhangelszk;Oost-Archangelsk;Leste de Arcangel;Восточный Архангельск;Itä-Arhangel'sk;阿尔汉格尔斯克东部
Azerbaijan_Azerbaijan;Azerbaijan;Azerbaïdjan;Aserbaidschan;Azerbejdżan;Azerbaiyán;Azerbaigian;Azerbajdzjan;Ázerbájdžán;Azerbajdzsán;Azerbeidzjan;Azerbaijão;Азербайджан;Azerbaidžan;阿塞拜疆
Russia_West_Arkhangelsk;West Arkhangel'sk;Ouest d'Arkhangelsk;West-Archangelsk;Zachodnie Archangielsk;Oeste de Arcángel;Ovest di Arcangelo;Västra Archangelsk;Západní Archangelsk;Nyugati Arhangelszk;West-Archangelsk;Oeste de Arcangel;Западный Архангельск;Länsi-Arhangel'sk;阿尔汉格尔斯克西部
Azerbaijan_Nagorno-Karabakh;Nagorno-Karabakh;Haut-Karabakh;Berg-Karabach;Górski Karabach;Alto Karabaj;Alto Karabakh;Nagorno-Karabach;Horní Karabach;Felső-Karabah;Nagorno-Karabach;Alto Carabaque;Нагорный Карабах;Nagorno-Karabah;纳戈尔诺-卡拉巴赫
Azerbaijan_Nakhchivan;Nakhchivan;Nakhitchevan;Nachitschewan;Nakszczawan;Najicheván;Naxçıvan;Naxçıvan;Nachyčeván;Nahicseván;Nakhchivan;Nakhchivan;Нахичевань;Nahhitševan;纳希切万
Russia_Volgograd;Volgograd;Volgograd;Wolgograd;Wołgograd;Volgogrado;Volgograd;Volgograd;Volgograd;Volgograd;Volgograd;Volgogrado;Волгоград;Volgograd;伏尔加格勒
Armenia_Armenia;Armenia;Arménie;Armenien;Armenia;Armenia;Armenia;Armenien;Arménie;Örményország;Armenië;Armênia;Армения;Armenia;亚美尼亚
Russia_North_Karelia;North Karelia;Carélie du Nord;Nordkarelien;Północna Karelia;Carelia Septentrional;Carelia Settentrionale;Norra Karelen;Severní Karelie;Északi Karélia;Noord-Karelië;Carélia do Norte;Северная Карелия;Pohjois-Karjala;北卡累利阿
Russia_South_Karelia;South Karelia;Carélie du Sud;Südkarelien;Południowa Karelia;Carelia Meridional;Carelia Meridionale;Södra Karelen;Jižní Karelie;Déli Karélia;Zuid-Karelië;Carélia do Sul;Южная Карелия;Etelä-Karjala;南卡累利阿
Lithuania_East_Lithuania;East Lithuania;Est de la Lituanie;Ostlitauen;Wschodnia Litwa;Lituania Oriental;Lituania Orientale;Östra Litauen;Východní Litva;Keleti Litvánia;Oost-Litouwen;Lituânia Oriental;Восточная Литва;Itä-Liettua;立陶宛东部
Lithuania_West_Lithuania;West Lithuania;Ouest de la Lituanie;Westlitauen;Zachodnia Litwa;Lituania Occidental;Lituania Occidentale;Västra Litauen;Západní Litva;Nyugati Litvánia;West-Litouwen;Lituânia Ocidental;Западная Литва;Länsi-Liettua;立陶宛西部
