CODE;ENGLISH;FRENCH;GERMAN;POLSKI;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;CHINESE
ENGLISH;English;Anglais;Englisch;Angielski;Inglés;Inglese;Engelska;Angličtina;Angol;Engels;Inglês;Английский;Englanti;英语
FRENCH;French;Français;Französisch;Francuski;Francés;Francese;Franska;Francouzština;Francia;Frans;Francês;Французский;Ranska;法语
GERMAN;German;Allemand;Deutsch;Niemiecki;Alemán;Tedesco;Tyska;Němčina;Német;Duits;Alemão;Немецкий;Saksa;德语
POLSKI;Polish;Polonais;Polnisch;Polski;Polaco;Polacco;Polska;Polština;Lengyel;Pools;Polaco;Польский;Puola;波兰语
SPANISH;Spanish;Espagnol;Spanisch;Hiszpański;Español;Spagnolo;Spanska;Španělština;Spanyol;Spaans;Espanhol;Испанский;Espanja;西班牙语
ITALIAN;Italian;Italien;Italienisch;Włoski;Italiano;Italiano;Italienska;Italština;Olasz;Italiaans;Italiano;Итальянский;Italia;意大利语
SWEDISH;Swedish;Suédois;Schwedisch;Szwedzki;Sueco;Svedese;Svenska;Švédština;Svéd;Zweeds;Sueco;Шведский;Ruotsi;瑞典语
CZECH;Czech;Tchèque;Tschechisch;Czeski;Checo;Ceco;Tjeckiska;Čeština;Cseh;Tsjechisch;Checo;Чешский;Tšekki;捷克语
HUNGARIAN;Hungarian;Hongrois;Ungarisch;Węgierski;Húngaro;Ungherese;Ungerska;Maďarština;Magyar;Hongaars;Húngaro;Венгерский;Unkari;匈牙利语
DUTCH;Dutch;Néerlandais;Niederländisch;Holenderski;Holandés;Olandese;Holländska;Nizozemština;Holland;Nederlands;Holandês;Голландский;Hollanti;荷兰语
PORTUGUESE;Portuguese;Portugais;Portugiesisch;Portugalski;Portugués;Portoghese;Portugisiska;Portugalština;Portugál;Portugees;Português;Португальский;Portugali;葡萄牙语
RUSSIAN;Russian;Russe;Russisch;Rosyjski;Ruso;Russo;Ryska;Ruština;Orosz;Russisch;Russo;Русский;Venäjä;俄语
FINNISH;Finnish;Finnois;Finnisch;Fiński;Finlandés;Finlandese;Finska;Finština;Finn;Fins;Finlandês;Финский;Suomi;芬兰语
CHINESE;Chinese;Chinois;Chinesisch;Chiński;Chino;Cinese;Kinesiska;Čínština;Kínai;Chinees;Chinês;Китайский;Kiina;中文
